ell,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10
108,4.147496116466E-10,4.69692506385E-10,4.005441838359E-10,3.634056582272E-10,4.376420728212E-10,4.006698320003E-10,4.554568107528E-10,3.946193028308E-10,3.283079135574E-10,4.191098577524E-10
109,4.193317858277E-10,4.749618171832E-10,4.049370454037E-10,3.673982092275E-10,4.424142910621E-10,4.05088345042E-10,4.606416148541E-10,3.990922532691E-10,3.319528507347E-10,4.237273345644E-10
110,4.239355489355E-10,4.802540800822E-10,4.093490553944E-10,3.714102729102E-10,4.472109193433E-10,4.095289916476E-10,4.658484093674E-10,4.035852915864E-10,3.356170825036E-10,4.283669391833E-10
111,4.285604586349E-10,4.855683578088E-10,4.137797183975E-10,3.754414160513E-10,4.520310314729E-10,4.139909723423E-10,4.710766978986E-10,4.080979323409E-10,3.392999132686E-10,4.33027854731E-10
112,4.332061822072E-10,4.909035658243E-10,4.182286369249E-10,3.794913156288E-10,4.56873541395E-10,4.184733489854E-10,4.763261231741E-10,4.126298116892E-10,3.430005292378E-10,4.377091233829E-10
113,4.378722875355E-10,4.962584675245E-10,4.226953148125E-10,3.835595561728E-10,4.617371980345E-10,4.229750402665E-10,4.815962348387E-10,4.171804771588E-10,3.46717994625E-10,4.424096417676E-10
114,4.425582395482E-10,5.016316694388E-10,4.271791537372E-10,3.876456265022E-10,4.666205801414E-10,4.27494817202E-10,4.868864860582E-10,4.21749384493E-10,3.504512478518E-10,4.471281563662E-10
115,4.47263396662E-10,5.070216164304E-10,4.316794497341E-10,3.917489164609E-10,4.715220911355E-10,4.320312986314E-10,4.921962301212E-10,4.263358944959E-10,3.541990977491E-10,4.51863258912E-10
116,4.519870072251E-10,5.124268000439E-10,4.361953897142E-10,3.958687136552E-10,4.764401838063E-10,4.365831474403E-10,4.975247170423E-10,4.309392698768E-10,3.579603827461E-10,4.566135896315E-10
117,4.567282059606E-10,5.178464225515E-10,4.407260479815E-10,4.000042001895E-10,4.813740764258E-10,4.411496959228E-10,5.028710901636E-10,4.355586720951E-10,3.617344785138E-10,4.613784848353E-10
118,4.614860104094E-10,5.23279805004E-10,4.452703827508E-10,4.041544494038E-10,4.863231144256E-10,4.457303883479E-10,5.082343827578E-10,4.40193158205E-10,3.655208451963E-10,4.661573997896E-10
119,4.662593173738E-10,5.287261784217E-10,4.498272326643E-10,4.083184226095E-10,4.912865452434E-10,4.503245843375E-10,5.1361351463E-10,4.448416777004E-10,3.69318867615E-10,4.709497051872E-10
120,4.710468993603E-10,5.341846808796E-10,4.543953133097E-10,4.124949658268E-10,4.962635151994E-10,4.549315561366E-10,5.190072887206E-10,4.495030693595E-10,3.73127852912E-10,4.757546843847E-10
121,4.758474010233E-10,5.396543545907E-10,4.58973213737E-10,4.166828065208E-10,5.012530663738E-10,4.595504858855E-10,5.244143877072E-10,4.541760580897E-10,3.769470281922E-10,4.805715306396E-10
122,4.80659335608E-10,5.451341429906E-10,4.635593929764E-10,4.208805503383E-10,5.062541334833E-10,4.641804628899E-10,5.298333706072E-10,4.588592517721E-10,3.807755381674E-10,4.853993443479E-10
123,4.854812647057E-10,5.50622887822E-10,4.681523650181E-10,4.250868468245E-10,5.112655407584E-10,4.688204808927E-10,5.352628356401E-10,4.635512976949E-10,3.84612442798E-10,4.90237130281E-10
124,4.9031236848E-10,5.561193262185E-10,4.727512852342E-10,4.293009150807E-10,5.162859988198E-10,4.734694353452E-10,5.407019372363E-10,4.682513789234E-10,3.884567149372E-10,4.950837948233E-10
125,4.951519345513E-10,5.616220877889E-10,4.773554250767E-10,4.335220726261E-10,5.213141015558E-10,4.781261206775E-10,5.461499222968E-10,4.72958769273E-10,3.923072379732E-10,4.99938143209E-10
126,4.999991784592E-10,5.671296917018E-10,4.819639876692E-10,4.37749569913E-10,5.263483229991E-10,4.827892275704E-10,5.51605967185E-10,4.776726769481E-10,3.961628034722E-10,5.047988767599E-10
127,5.048532415485E-10,5.726405437692E-10,4.865761058074E-10,4.419825883927E-10,5.313870142037E-10,4.874573402261E-10,5.570691756372E-10,4.823922426429E-10,4.000221088218E-10,5.096645901222E-10
128,5.097131888543E-10,5.781529335313E-10,4.911908399589E-10,4.462202385818E-10,5.364284001216E-10,4.921289336397E-10,5.625385766732E-10,4.871165376415E-10,4.038837548736E-10,5.145337685038E-10
129,5.145780069874E-10,5.836652016587E-10,4.958071762637E-10,4.504615581279E-10,5.414707605818E-10,4.968025284426E-10,5.680131225068E-10,4.918445619181E-10,4.07746383001E-10,5.194049388525E-10
130,5.194466020201E-10,5.891762691153E-10,5.004240245339E-10,4.547055098765E-10,5.465130023064E-10,5.014771804367E-10,5.734916864559E-10,4.965752422376E-10,4.116091082778E-10,5.242771480073E-10
131,5.243177973714E-10,5.94685160805E-10,5.050402162544E-10,4.589509799363E-10,5.515541440354E-10,5.061520398556E-10,5.789730608535E-10,5.01307430256E-10,4.154711295866E-10,5.291495320238E-10
132,5.291903316927E-10,6.001908387772E-10,5.096545025826E-10,4.631967757459E-10,5.56593136262E-10,5.108261970208E-10,5.844559549579E-10,5.060399006206E-10,4.193315931182E-10,5.340211652909E-10
133,5.340628567533E-10,6.056922005297E-10,5.142655523488E-10,4.674416241398E-10,5.616288594268E-10,5.154986807395E-10,5.89938992863E-10,5.107713490706E-10,4.231895910114E-10,5.388910588692E-10
134,5.389339353254E-10,6.111880773113E-10,5.188719500564E-10,4.716841694143E-10,5.666601221121E-10,5.201684567041E-10,5.954207114093E-10,5.155003905371E-10,4.270441599942E-10,5.437581588304E-10
135,5.438020390705E-10,6.16677232425E-10,5.234721938815E-10,4.759229713941E-10,5.716856592363E-10,5.248344258903E-10,6.008995580938E-10,5.202255572438E-10,4.308942800242E-10,5.486213445953E-10
136,5.486655464239E-10,6.221583595312E-10,5.28064693674E-10,4.801565034977E-10,5.767041302479E-10,5.294954229558E-10,6.063738889807E-10,5.249452968072E-10,4.347388729292E-10,5.534794272735E-10
